market_index,slug,question,winner_label,y,horizon,mean_model_log_loss,max_model_log_loss,mean_model_brier,n_models_wrong,mean_p_truth,posterior_range
632,will-alaves-win-the-202526-la-liga,Will Alaves win the 2025–26 La Liga?,No,0,500,27.631043237893355,27.63104323789336,0.9999999999979999,6,9.999778782798785e-13,0.0
228,trump-declassifies-ufo-files-before-2027,Trump declassifies UFO files before 2027?,Yes,1,500,27.631021115928547,27.631021115928547,0.9999999999979999,6,1e-12,0.0
237,will-john-ternus-be-the-next-ceo-of-apple,Will John Ternus be the next CEO of Apple?,Yes,1,500,27.631021115928547,27.631021115928547,0.9999999999979999,6,1e-12,0.0
421,will-eintracht-frankfurt-win-the-202526-champions-league,Will Eintracht Frankfurt win the 2025–26 Champions League?,No,0,500,26.663767163799875,27.63104323789336,0.9999999998878325,6,5.608367474133994e-11,3.305021811783604e-10
361,bitway-fdv-above-100m-one-day-after-launch,Bitway FDV above $100M one day after launch?,Yes,1,500,25.177885818836202,27.631021115928547,0.9999991774206046,6,4.1129020511157137e-07,2.4677352306694294e-06
349,will-no-one-leave-the-trump-cabinet-before-2027,Will no one leave the Trump Cabinet before 2027?,No,0,500,25.00123964175975,27.63104323789336,0.9999976257686362,6,1.1871199096513685e-06,7.122713458040941e-06
880,elon-musk-of-tweets-april-2026-560-579,Will Elon Musk post 560-579 tweets in April 2026?,No,0,500,24.86568177947483,27.63104323789336,0.9999946450784138,6,2.6774822997621683e-06,1.606488779870574e-05
581,will-ali-khamenei-be-the-next-leader-out-before-2027-115,Will Ali Khamenei be the next leader out before 2027?,No,0,500,23.98096203433892,27.63104323789336,0.9998910557241404,6,5.4481042480995313e-05,0.0003268862399584682
635,fogo-fdv-above-300m-one-day-after-launch,Fogo FDV above $300M one day after launch?,Yes,1,500,23.974263383243514,27.631021115928547,0.9999989660510685,6,5.169752669620221e-07,3.1007571943502574e-06
301,elon-musk-of-tweets-april-2026-520-539,Will Elon Musk post 520-539 tweets in April 2026?,No,0,500,23.97192371441919,27.63104323789336,0.9988599155205238,6,0.0005710204327390445,0.0034261225904343995
846,will-trump-act-to-ban-mail-in-voting-or-voting-machines-by-june-30,Will Trump act to ban mail-in voting or voting machines by June 30?,Yes,1,500,23.808063056461666,27.631021115928547,0.9969617509341178,6,0.001526111582621302,0.00915666948972781
255,will-trae-young-win-the-20252026-nba-mvp,Will Trae Young win the 2025–2026 NBA MVP?,No,0,500,23.670463461674345,27.63104323789336,0.9999837937531026,6,8.103320436529208e-06,4.861948757017842e-05
636,nba-2025-26-coach-of-the-year-darko-rajakovic,Will Darko Rajakovic win the 2025–2026 NBA Coach of the Year?,No,0,500,23.281660596316218,27.63104323789336,0.9359040607540802,6,0.035918354108335715,0.21551012464401442
687,will-oklahoma-city-thunder-advance-to-the-conference-semifinals-in-the-2026-nba-playoffs,Will Oklahoma City Thunder advance to the Conference Semifinals in the 2026 NBA Playoffs?,Yes,1,500,23.125186908833317,27.631021115928547,0.9999948979001293,6,2.5510693673555217e-06,1.5270327991192553e-05
471,will-xauusd-dip-to-3900-in-april-2026,"Will Gold (XAUUSD) hit (LOW) $3,900 in April?",No,0,500,22.071096538417027,27.63104323789336,0.9999812871246694,6,9.356700230001014e-06,5.613177322705276e-05
926,will-israel-annex-syrian-territory-before-july,Will Israel annex Syrian territory before July?,No,0,500,21.0692633743527,27.63104323789336,0.877471991260121,6,0.08089691700508346,0.4853812435814663
709,infinex-fdv-above-4b-one-day-after-launch-262-798-873-118-421-414,Infinex FDV above $4B one day after launch?,No,0,500,19.410697742695092,27.63104323789336,0.9225427370286727,6,0.044712312908530526,0.2679628338515786
410,delcy-rodrguez-out-as-leader-of-venezuela-by-march-31-2026-227,"Delcy Rodríguez out as leader of Venezuela by March 31, 2026?",No,0,500,23.093532159851264,27.63104323789336,0.8518897623923934,5,0.1110542743723668,0.6663256462282008
695,will-the-peoples-party-for-freedom-and-democracy-win-the-fourth-most-seats-in-the-2025-netherlands-parliamentary-election-192,Will the People's Party for Freedom and Democracy win the fourth most seats in the 2025 Netherlands parliamentary election?,No,0,500,23.07169084061954,27.63104323789336,0.842963263385674,5,0.12660436091340538,0.7596261654744324
859,nba-2025-26-sixth-man-of-the-year-donte-divincenzo,Will Donte DiVincenzo win the 2025–2026 NBA Sixth Man of the Year?,No,0,500,23.067999339414055,27.63104323789336,0.8416483677885839,5,0.12943980706112337,0.7766388423607404
302,gpt-5pt5-released-by-june-30-2026-941-343-516-779-192-426-498-353,"GPT-5.5 released by June 30, 2026?",Yes,1,500,23.037932669257003,27.631021115928547,0.8341482592815131,5,0.1550124403250482,0.9300746419442895
260,will-xauusd-dip-to-4000-in-april-2026,"Will Gold (XAUUSD) hit (LOW) $4,000 in April?",No,0,500,23.026192460786103,27.63104323789336,0.8333339584644869,5,0.16634388376309014,0.998063302572541
566,will-trove-launch-a-token-by-june-30-2026,"Will Trove launch a token by June 30, 2026?",Yes,1,500,23.02590669787871,27.631021115928547,0.8333333519858015,5,0.16661090805839446,0.9996654483443669
847,will-liverpool-reach-the-uefa-champions-league-semifinal,Will Liverpool reach the UEFA Champions League semifinal?,No,0,500,23.02587082288562,27.63104323789336,0.8333333333444206,5,0.1666652086993908,0.9999912521903449
56,over-50m-committed-to-the-hurupay-public-sale-569-772-915-493-946-347-974,Over $50M committed to the Hurupay public sale?,No,0,500,23.025869364912264,27.63104323789336,0.8333333333316667,5,0.16666666666636853,0.9999999999922113
